Datetime,Tweet Id,Text,Username
2022-05-31 22:42:08+00:00,1531768017146765319,"#Survivor Finale crowns a new winner, #StrangeNewWorlds on #ParamountPlus, #ObiWanKenobi starts on #Disneyplus as #StarWarsCelebration kicks off, as well as #StrangerThings drops on #Netflix https://t.co/JfpubYTQy4 on #Podbean",BayRejects
2022-05-31 22:41:04+00:00,1531767749235572736,First Episodes Available for Streaming on #DisneyPlus Now $DIS #ObiWan #ObiWanKenobi #StarWars Obi-Wan Kenobi - TRAILE…,ThackerayAugus
2022-05-31 22:35:53+00:00,1531766444802850821,"Check out MARVEL PREVIEW #21 MOON KNIGHT CGC 9.6 https://t.co/qiNkHjYGRf #eBay via @eBay
#MoonKnight #marvel #MarvelComics #OscarIsaac #DisneyPlus #MarvelStudios #comicbook #ebayfinds",Ps5Fn
2022-05-31 22:33:23+00:00,1531765814684172288,"'Star Wars' defends Black 'Kenobi' actor Moses Ingram after she shares racist abuse she's been getting online.
#StarWars #ObiWanKenobi #DisneyPlus https://t.co/FTmS3W324p",iloveblckmovies
2022-05-31 22:33:15+00:00,1531765779808624642,in my brothers words “I didn’t know Star Wars fans was this toxic” no fr you guys fuxkin suck I see just like certain DC &amp; Marvel fans no matter what fandom the toxic racism always persists sadly #DisneyPlus https://t.co/DcOypAwrHU,HisNameIsD
2022-05-31 22:30:14+00:00,1531765019402199040,“CMA Country Christmas” Removed From Disney+ (US) https://t.co/GES9keGyuQ #disneyplus https://t.co/SkS2gYxgL9,disneyplusnews
2022-05-31 22:30:00+00:00,1531764961453694979,"Obi-Wan Kenobi is now the most-watched Disney+ Original series premiere globally to date.
#ObiWan #obiwankenobi #HaydenChristensen #DisneyPlus @kumailn #ObiWan @obiwankenobi @disneyplus #EwanMcGregor #DisneyPlus https://t.co/lBkwlWh1U7",TheEnvoyWeb
2022-05-31 22:27:55+00:00,1531764436209438721,@CaptMarvelNews @msmarvel @disneyplus I bet you 💯 % that @brielarson is going to pop up in a cameo as Carol Danvers in an episode even if it’s a surprise moment in the final sixth episode of the series. I’m calling it now! 🤞🤞🤞 #MsMarvel #DisneyPlus #MarvelStudios,ittatto23
2022-05-31 22:25:50+00:00,1531763912277905414,Knights of Castelcorvo Retro Review https://t.co/28Zv42AFuF #disneyplus,disneyplusnews
2022-05-31 22:24:14+00:00,1531763512522985472,"I have a petition that asks @Disney to make a @spidermanTAS revival series on #DisneyPlus with @johnsemper and the original voice actors and crew members.  Please click the link below if you would like to sign this petition.  #SpiderMan
https://t.co/18nMA42Pt2 https://t.co/zGhJZlAys2",StuartGreen2018
2022-05-31 22:24:02+00:00,1531763460526288898,"#StarWars: #Andor is coming to #DisneyPlus

#Amazon: https://t.co/dBWVz5qe5U
#iTunes: https://t.co/YHgWGPg0YH 

https://t.co/wJVIYgY6JW via @YouTube",TheBestDarnGirl
2022-05-31 22:23:10+00:00,1531763240795090946,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭BEST ENDING EVER😭😭😭😭😭😭😭😭😭😭😭 #amphibia #amphibiaspoilers #amphibiafinale #DisneyPlus #AmphibiaMarcy #AmphibiaSasha #AmphibiaAnne #amphibiaseason3 #Disney https://t.co/BdAgV852up,ClarenceDenis1
2022-05-31 22:23:08+00:00,1531763234659008514,"How to Become a Super Hero:
✅ Wake up
✅ Pay attention
✅ Suit up
✅ Do good

Ms. Marvel, an Original series from Marvel Studios, is streaming June 8 on #DisneyPlus. #MsMarvel  https://t.co/G0N1JN8IA6",PixBender
2022-05-31 22:19:38+00:00,1531762352047198208,@HandeErcel became a member of @DisneyPlusTR and I think I found her in one of the @Disney animations 😂 SORRY HANDE😂 btw love u🤍#HandeErcel #ELLEStyleAwards2022 #DisneyPlus https://t.co/nfckFAYhLj,Strawberry_imyy
2022-05-31 22:19:37+00:00,1531762351074168833,"When you wish upon a star... ⭐🧚 Check out this new trailer for #Pinocchio, premiering on #DisneyPlus 8 September!

#zingpopculture #zingpop #popculture #liveactionpinocchio #disney #disneyplusday https://t.co/mdYOFnLC6d",ZingPopCulture
2022-05-31 22:19:11+00:00,1531762241636294656,"#Pinocchio is streaming on #DisneyPlus Day, September 8th

#Amazon: https://t.co/dBWVz5qe5U
#iTunes: https://t.co/YHgWGPg0YH 

https://t.co/aem7XyNbBC via @YouTube",TheBestDarnGirl
2022-05-31 22:15:04+00:00,1531761203785224194,“Ms Marvel” Toronto Premiere Photos https://t.co/lBxd9sXCKf #disneyplus https://t.co/CwYqrGIOjL,disneyplusnews
2022-05-31 22:14:54+00:00,1531761161934213120,"Pinocchio   Teaser Trailer   Disney+ https://t.co/c4kWhkJaI6 via @YouTube #Pinocchio #TomHanks #DisneyPlus @tomhanks #blog #Writers #animation #WritingCommnunity 
#blogger #films #writerslift   
#Theanimationfreak #Thetrailerpark",THEBLIZZARDSIX
2022-05-31 22:13:55+00:00,1531760915154096128,"First Poster for Disney+'s 'Pinocchio'

#Pinocchio #DisneyPlus https://t.co/gDWVlk4eMi",images_tv
2022-05-31 22:13:48+00:00,1531760884229582848,"Love #ObiWan but missing #Grogu era. 

#StarWars #Mandalorian #Disneyplus https://t.co/5CZ3RDnGhT",BjorneDigital
